web-scraper-order,web-scraper-start-url,title,releaseDate,url,url-href,summary
"1753633838-1","https://blog.samizdata.co/archive?sort=new","How hot has Eastern Europe become?","2025-06-21T12:06:38.791Z","How hot has Eastern Europe become?","https://blog.samizdata.co/p/how-hot-has-eastern-europe-become","The world is getting warmer, and Eastern Europe is no exception."
"1753633838-2","https://blog.samizdata.co/archive?sort=new","Trump's lies about Ukraine, fact-checked","2025-03-01T17:00:39.910Z","Trump's lies about Ukraine, fact-checked","https://blog.samizdata.co/p/trumps-lies-about-ukraine-fact-checked","The US president is wrong, and the data proves it."
"1753633838-3","https://blog.samizdata.co/archive?sort=new","What happened in the Moldovan election, and what's next?","2024-10-28T12:10:12.876Z","What happened in the Moldovan election, and what's next?","https://blog.samizdata.co/p/what-happened-in-the-moldovan-election","A controversial election and a razor-thin referendum result. What can we learn from the data?"
"1753633838-4","https://blog.samizdata.co/archive?sort=new","Eastern European press increasingly under attack","2024-07-02T13:22:36.487Z","Eastern European press increasingly under attack","https://blog.samizdata.co/p/eastern-european-press-increasingly","Russian influence spreads throughout the region, but situation in some countries improves."
"1753633838-5","https://blog.samizdata.co/archive?sort=new","Russia's tech brain drain in numbers","2024-04-17T11:45:17.407Z","Russia's tech brain drain in numbers","https://blog.samizdata.co/p/russias-tech-brain-drain-in-numbers","Many Russian software engineers have left the country, GitHub data shows. Where did they go, and who do Russians code with now?"
"1753633838-6","https://blog.samizdata.co/archive?sort=new","What will the world do today?","2024-01-25T13:27:15.999Z","What will the world do today?","https://blog.samizdata.co/p/what-will-the-world-do-today","We get 24 hours a day. A new study calculates how we spend them."
"1753633838-7","https://blog.samizdata.co/archive?sort=new","The British sitcom that swept through the Balkans","2023-10-24T12:22:28.183Z","The British sitcom that swept through the Balkans","https://blog.samizdata.co/p/how-a-british-sitcom-swept-through-the-balkans","The swindler spirit that united Eastern and Western Europe"
"1753633838-8","https://blog.samizdata.co/archive?sort=new","Hoppin' around: Where to find the best beer in Eastern Europe?","2023-08-29T12:08:07.313Z","Hoppin' around: Where to find the best beer in Eastern Europe?","https://blog.samizdata.co/p/where-to-find-the-best-beer-eastern-europe","Eastern Europe is not particularly known for its strong beer tradition. Has the ""craft revolution"" changed that?"
"1753633838-9","https://blog.samizdata.co/archive?sort=new","The best place to live in Eastern Europe","2023-07-12T11:38:32.148Z","The best place to live in Eastern Europe","https://blog.samizdata.co/p/best-place-to-live-in-eastern-europe","The world is more liveable than at any point in the past 15 years. What about Eastern Europe and Central Asia?"
"1753633838-10","https://blog.samizdata.co/archive?sort=new","The myth of the Russian World","2023-06-06T13:40:24.373Z","The myth of the Russian World","https://blog.samizdata.co/p/the-myth-of-the-russian-world","""Russkiy mir"" is arguably smaller than Russia itself"
"1753633838-11","https://blog.samizdata.co/archive?sort=new","What is Eastern Europe?","2023-05-01T10:47:45.464Z","What is Eastern Europe?","https://blog.samizdata.co/p/what-is-eastern-europe","A somewhat meaningful answer to a somewhat meaningless question"
"1753633838-12","https://blog.samizdata.co/archive?sort=new","Coming soon","2023-04-26T21:14:00.000Z","Coming soon","https://blog.samizdata.co/p/coming-soon","A data journalism newsletter about Eastern Europe"
